observacion,valor
k-folds,"[0.7560975609756098, 0.7317073170731707, 0.7560975609756098, 0.7317073170731707, 0.9047619047619048, 0.7142857142857143, 0.7142857142857143, 0.7857142857142857, 0.6341463414634146, 0.6829268292682927]"
mean,0.7411730545876887
