observacion,valor
k-folds,"[0.4146341463414634, 0.4146341463414634, 0.43902439024390244, 0.4146341463414634, 0.35714285714285715, 0.47619047619047616, 0.3333333333333333, 0.47619047619047616, 0.43902439024390244, 0.4878048780487805]"
mean,0.42526132404181183
