solucion,valor
continua,"[0.9240241843932452, 0.04981489203091705, 0.32192854260443243, 0.08120403757584203, 0.5324591063908574, 0.9776833768574816, 0.7889277351355428, 0.10368372177652223, 0.4730020662984074, 0.030994225060424724, 0.47632145706065415, 0.7789838901801905, 0.5605917836552435, 0.7239877605958046, 0.9322306624200922, 0.3303162655857445, 0.5526018039856085, 0.08654238053839804, 0.5574736249544828, 0.5110431567277448, 0.000760300633798491, 0.13198705289526783, 0.1542595659596766, 0.19856540913712759, 0.5166169316085539, 0.12889851342801198, 0.125050246240419, 0.06786780429741257, 0.560874546078284, 0.13071194726653776, 0.1367378966105515, 0.8535694615656815, 0.610476703683235, 0.43054585292197783, 0.7466626569964312, 0.2741535135114314, 0.04890852135180048, 0.18446232703976806, 0.5660986982974707, 0.7865902848828261, 0.5795680012634842, 0.2542665279587808, 0.0006960891964489803, 0.6832387221056909, 0.25197483882968896, 0.37899624038547824, 0.10962170199880605, 0.6652977407526254, 0.8998561559794362, 0.07188549356926421, 0.03919479985811286, 0.91168222082909, 0.1688056633979971, 0.43503483584677505, 0.21613141413895945, 0.3899351095850756, 0.2570833479006374, 0.41541519488305134, 0.31028094137539547, 0.4565873225223722, 0.8268490143181594, 0.9667225861428692, 0.3728327528573478, 0.4578034909268285, 0.6062502495141885, 0.14756486784012832, 0.4463654246597308, 0.14588754869217485, 0.02131953589645272, 0.8838764083322525, 0.9200665608233606, 0.49581003126941026, 0.7031870893130717, 0.36880601047493156, 0.4558493472708202, 0.6283855014759948]"
binaria,"[True, False, False, False, True, True, True, False, False, False, False, True, True, True, True, False, True, False, True, True, False, False, False, False, True, False, False, False, True, False, False, True, True, False, True, False, False, False, True, True, True, False, False, True, False, False, False, True, True, False, False, True, False, False, False, False, False, False, False, False, True, True, False, False, True, False, False, False, False, True, True, False, True, False, False, True]"
