observacion,valor
k-folds,"[0.975609756097561, 0.9024390243902439, 1.0, 0.9024390243902439, 0.8809523809523809, 0.9761904761904762, 0.8571428571428571, 0.9523809523809523, 0.9512195121951219, 0.8292682926829268]"
mean,0.9227642276422765
