observacion,valor
k-folds,"[0.9024390243902439, 0.8292682926829268, 0.975609756097561, 0.9024390243902439, 0.9285714285714286, 0.9761904761904762, 0.8809523809523809, 0.9761904761904762, 0.8048780487804879, 0.8292682926829268]"
mean,0.9005807200929153
