metric,fold,avg
mcc,"[0.7197975989527483, 0.6695378504304159, 0.7363260976542669, 0.6879799679615395, 0.7967047235930347, 0.7550964947183277, 0.7754507518711005, 0.8127125595826609, 0.6601840812345773, 0.7416899522621749]",0.7355480078260846
f1,"[0.9765684051398337, 0.9735849056603774, 0.9796839729119639, 0.9735049205147616, 0.9841986455981941, 0.9803921568627451, 0.9834834834834835, 0.9865067466266867, 0.9735849056603774, 0.9827973074046372]",0.979430544986306
accuracy,"[0.9567039106145251, 0.9511173184357542, 0.9622905027932961, 0.9511173184357542, 0.9706703910614525, 0.9636871508379888, 0.9692737430167597, 0.9748603351955307, 0.951048951048951, 0.9678321678321679]",0.961860178927218
precision,"[0.9969135802469136, 0.9923076923076923, 0.9954128440366973, 0.9953560371517027, 0.9984732824427481, 0.9969325153374233, 0.9954407294832827, 0.996969696969697, 0.9907834101382489, 0.9909502262443439]",0.994954001435875
recall,"[0.957037037037037, 0.9555555555555556, 0.9644444444444444, 0.9525925925925925, 0.9703264094955489, 0.9643916913946587, 0.9718100890207715, 0.9762611275964391, 0.956973293768546, 0.9747774480712166]",0.9644169688976811
