metric,fold,avg
mcc,"[0.6127418944986278, 0.6722271006435346, 0.6164540264985691, 0.583521773814793, 0.7627579221887135, 0.7411163254425224, 0.6938810002111135, 0.7723611699872828, 0.5728047753968546, 0.6218415826775958]",0.6649707571359608
f1,"[0.9769858945805494, 0.9783420463032113, 0.9753914988814317, 0.9715568862275449, 0.9843166542195668, 0.9836065573770492, 0.9837997054491899, 0.9866468842729971, 0.9739389426656738, 0.9769173492181683]",0.9791502419195381
accuracy,"[0.9567039106145251, 0.9594972067039106, 0.9539106145251397, 0.946927374301676, 0.9706703910614525, 0.9692737430167597, 0.9692737430167597, 0.9748603351955307, 0.951048951048951, 0.9566433566433566]",0.9608809626128062
precision,"[0.9791666666666666, 0.9864457831325302, 0.9819819819819819, 0.9818456883509834, 0.9909774436090225, 0.9880239520958084, 0.9766081871345029, 0.9866468842729971, 0.9775784753363229, 0.9805680119581465]",0.9829843074538962
recall,"[0.9748148148148148, 0.9703703703703703, 0.9688888888888889, 0.9614814814814815, 0.9777448071216617, 0.9792284866468842, 0.9910979228486647, 0.9866468842729971, 0.9703264094955489, 0.973293768545994]",0.9753893834487307
