metric,fold,avg
mcc,"[0.5015140222585737, 0.5161150131671807, 0.5489455721414265, 0.44989347157951853, 0.6151142765067742, 0.6066413261456327, 0.5400263487873339, 0.5659447658206698, 0.49841246127353284, 0.4752375897658675]",0.531784484744651
f1,"[0.9492307692307692, 0.9499615088529638, 0.9497293116782676, 0.9387121799844841, 0.9625095638867636, 0.960919540229885, 0.9604863221884499, 0.9570552147239264, 0.942457231726283, 0.9485011529592621]",0.9519562795461054
accuracy,"[0.9078212290502793, 0.909217877094972, 0.909217877094972, 0.8896648044692738, 0.9315642458100558, 0.9287709497206704, 0.9273743016759777, 0.9217877094972067, 0.8965034965034965, 0.9062937062937063]",0.912821619721061
precision,"[0.9872, 0.9887820512820513, 0.9935275080906149, 0.9853420195439739, 0.9936808846761453, 0.993660855784469, 0.9844236760124611, 0.9904761904761905, 0.9901960784313726, 0.9840510366826156]",0.9891340300979895
recall,"[0.914074074074074, 0.914074074074074, 0.9096296296296297, 0.8962962962962963, 0.9332344213649851, 0.93026706231454, 0.9376854599406528, 0.9258160237388724, 0.8991097922848664, 0.9154302670623146]",0.9175617100780306
