class,metric,value
0,presicion,1.0
1,presicion,0.9970449172576832
macro avg,presicion,0.9985224586288416
weighted avg,presicion,0.9972149583316824
0,recall,0.9514563106796117
1,recall,1.0
macro avg,recall,0.9757281553398058
weighted avg,recall,0.9972067039106145
0,f1-score,0.9751243781094527
1,f1-score,0.9985202722699024
macro avg,f1-score,0.9868223251896775
weighted avg,f1-score,0.9971740280807815
