observacion,valor
k-folds,"[0.9512195121951219, 0.9024390243902439, 0.975609756097561, 0.926829268292683, 0.9761904761904762, 0.9761904761904762, 0.9047619047619048, 0.9761904761904762, 0.8292682926829268, 0.8536585365853658]"
mean,0.9272357723577235
