observacion,valor
k-folds,"[0.43902439024390244, 0.7073170731707317, 0.5853658536585366, 0.6097560975609756, 0.42857142857142855, 0.5476190476190477, 0.5238095238095238, 0.4523809523809524, 0.43902439024390244, 0.5121951219512195]"
mean,0.5245063879210221
