observacion,valor
k-folds,"[1.0, 0.926829268292683, 0.926829268292683, 0.9512195121951219, 0.9523809523809523, 0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9024390243902439, 0.8536585365853658]"
mean,0.9299070847851336
