observacion,valor
k-folds,"[0.6829268292682927, 0.7560975609756098, 0.7073170731707317, 0.7073170731707317, 0.7619047619047619, 0.7380952380952381, 0.6904761904761905, 0.6428571428571429, 0.7073170731707317, 0.5609756097560976]"
mean,0.6955284552845529
