class,metric,value
0,presicion,0.0594059405940594
1,presicion,0.9863013698630136
macro avg,presicion,0.5228536552285366
weighted avg,presicion,0.9329660462793811
0,recall,0.9902912621359223
1,recall,0.04267931238885596
macro avg,recall,0.5164852872623892
weighted avg,recall,0.09720670391061452
0,f1-score,0.11208791208791209
1,f1-score,0.08181818181818182
macro avg,f1-score,0.09695304695304696
weighted avg,f1-score,0.08355995959347914
