metric,value
Accuracy,0.09720670391061452
Precision,0.9863013698630136
Recall,0.04267931238885596
F1 Score,0.08181818181818182
Cohen's Kappa,0.003945459140841656
Matthews CorrCoef,0.03882005004829472
