metric,value
Accuracy,0.9564245810055866
Precision,0.9680046538685282
Recall,0.9863663307646711
F1 Score,0.9770992366412213
Cohen's Kappa,0.5296360929004089
Matthews CorrCoef,0.5397814499699309
