solucion,valor
continua,"[0.8896030969527582, 0.5067366716369531, 0.27350080729939363, 0.7463977153133797, 0.40661476904087557, 0.3107479918260375, 0.2898238754008316, 0.5571317096802183, 0.35345438945745106, 0.6418380152304499, 0.20481819152389233, 0.15353678978708887, 0.7979282275063865, 0.8988291106932178, 0.13862807552234194, 0.6935845685800756, 0.8608199149983546, 0.39882096616269713, 0.9175497682718928, 0.7356515342174953, 0.25124713071032473, 0.36042426359597074, 0.18701690126711776, 0.7230698426795003, 0.7476736864520337, 0.14362214361344458, 0.7270267612809331, 0.45602656470812736, 0.6559548343536064, 0.8044983472271954, 0.3347008220611352, 0.7409931465838957, 0.5668359273199453, 0.8935975040672253, 0.22233105211417015, 0.41628361737263686, 0.36860386877472134, 0.03263743288543889, 0.6635903964618878, 0.527745581625214, 0.44776778326971267, 0.2504100034978394, 0.8849455291072856, 0.8044443023808838, 0.27577733914338776, 0.6164220461942488, 0.7657644262666015, 0.8341659376916386, 0.3988504022464144, 0.7499037354383066, 0.8727065309174583, 0.317932182292197, 0.7182237279999963, 0.17617054861883144, 0.05008109538531791, 0.7021112586914081, 0.5398696838599487, 0.04785894298178719, 0.35201703429780085, 0.5981524827435523, 0.9609181777073055, 0.5017403301637283, 0.6437284518626915, 0.5892486630384756, 0.7497901582822253, 0.7948357383598489, 0.5169279478578286, 0.447612575465429, 0.12033169245600006, 0.6971878067494081, 0.8497502083680567, 0.4866536422085743, 0.49303243922637824, 0.1141984306358534, 0.31093088362491333, 0.4985600292423534]"
binaria,"[True, True, False, True, False, False, False, True, False, True, False, False, True, True, False, True, True, False, True, True, False, False, False, True, True, False, True, False, True, True, False, True, True, True, False, False, False, False, True, True, False, False, True, True, False, True, True, True, False, True, True, False, True, False, False, True, True, False, False, True, True, True, True, True, True, True, True, False, False, True, True, False, False, False, False, False]"
